Date,Adj Close,Close,High,Low,Open,Volume
2015-01-02 00:00:00+00:00,-1.2321668624808735,-1.211658708321482,-1.208473867401717,-1.2114045857083138,206.3800048828125,121465900
2015-01-05 00:00:00+00:00,-1.2602793525920208,-1.2475650324085261,-1.232645586041844,-1.2389553095982633,204.1699981689453,169632600
2015-01-06 00:00:00+00:00,-1.2746756094689968,-1.2659536991848859,-1.248535240643971,-1.2631962210212813,202.08999633789062,209151400
2015-01-07 00:00:00+00:00,-1.2558084508807466,-1.2418548845618316,-1.248535240643971,-1.243530905110423,201.4199981689453,125346700
2015-01-08 00:00:00+00:00,-1.228605173502183,-1.2071099064290212,-1.2154075722684192,-1.2132541649473858,204.00999450683594,147217800
2015-01-09 00:00:00+00:00,-1.241108117276038,-1.2230790040148714,-1.2129037915448202,-1.2179272083738362,206.39999389648438,158567300
2015-01-12 00:00:00+00:00,-1.2532320966842077,-1.2385643059056464,-1.2304305504982362,-1.233406274783747,204.41000366210938,144396100
2015-01-13 00:00:00+00:00,-1.2575510286100389,-1.244080846867041,-1.2219561366176874,-1.2471330613202265,204.1199951171875,214553300
2015-01-14 00:00:00+00:00,-1.2667949885644751,-1.2558883563310306,-1.2641360031219946,-1.2660193881113597,199.64999389648438,192991100
2015-01-15 00:00:00+00:00,-1.2807376677515045,-1.2736963501302736,-1.2553726971173425,-1.26300147374135,201.6300048828125,176613900
2015-01-16 00:00:00+00:00,-1.2609608849601321,-1.2484360418742015,-1.2572022982552924,-1.266214135391291,198.77000427246094,211879600
2015-01-20 00:00:00+00:00,-1.2577028612386358,-1.2442744537523411,-1.248535240643971,-1.250443022335808,202.39999389648438,130991100
2015-01-21 00:00:00+00:00,-1.249973387178481,-1.2344025701050025,-1.2394828955711035,-1.2429468118192792,201.5,122942700
2015-01-22 00:00:00+00:00,-1.2270901389805173,-1.2051741329335868,-1.214444647502779,-1.2294147725627311,203.99000549316406,174356000
2015-01-23 00:00:00+00:00,-1.2356524294099964,-1.216110632931901,-1.2159853565166256,-1.2052713090540037,205.7899932861328,117516800
2015-01-26 00:00:00+00:00,-1.2320153041659685,-1.211465101436182,-1.2211857086387081,-1.2146170988096048,204.7100067138672,92009700
2015-01-27 00:00:00+00:00,-1.2525496042181739,-1.2376931487611875,-1.2350531183721123,-1.2351585546571786,202.97000122070312,134044600
2015-01-28 00:00:00+00:00,-1.2722510879010551,-1.262856727414001,-1.2334160140208232,-1.2529741427803147,204.1699981689453,168514300
2015-01-29 00:00:00+00:00,-1.2582328352918422,-1.2449518563327164,-1.2525798773255283,-1.2649486494433626,200.3800048828125,173585400
