Date,Adj Close,Close,High,Low,Volume
,,,,,
2015-01-02 00:00:00+00:00,173.1737823486328,205.42999267578125,206.8800048828125,204.17999267578125,121465900
2015-01-05 00:00:00+00:00,170.04624938964844,201.72000122070312,204.3699951171875,201.35000610351562,169632600
2015-01-06 00:00:00+00:00,168.4446563720703,199.82000732421875,202.72000122070312,198.86000061035156,209151400
2015-01-07 00:00:00+00:00,170.54364013671875,202.30999755859375,202.72000122070312,200.8800048828125,125346700
2015-01-08 00:00:00+00:00,173.5700225830078,205.89999389648438,206.16000366210938,203.99000549316406,147217800
2015-01-09 00:00:00+00:00,172.17906188964844,204.25,206.4199981689453,203.50999450683594,158567300
2015-01-12 00:00:00+00:00,170.83026123046875,202.64999389648438,204.60000610351562,201.9199981689453,144396100
2015-01-13 00:00:00+00:00,170.3497772216797,202.0800018310547,205.47999572753906,200.50999450683594,214553300
2015-01-14 00:00:00+00:00,169.32138061523438,200.86000061035156,201.10000610351562,198.57000732421875,192991100
2015-01-15 00:00:00+00:00,167.77024841308594,199.02000427246094,202.00999450683594,198.8800048828125,176613900
2015-01-16 00:00:00+00:00,169.97042846679688,201.6300048828125,201.82000732421875,198.5500030517578,211879600
2015-01-20 00:00:00+00:00,170.3328857421875,202.05999755859375,202.72000122070312,200.1699981689453,130991100
2015-01-21 00:00:00+00:00,171.1927947998047,203.0800018310547,203.66000366210938,200.94000244140625,122942700
2015-01-22 00:00:00+00:00,173.7385711669922,206.10000610351562,206.25999450683594,202.3300018310547,174356000
2015-01-23 00:00:00+00:00,172.7860107421875,204.97000122070312,206.10000610351562,204.80999755859375,117516800
2015-01-26 00:00:00+00:00,173.19064331054688,205.4499969482422,205.55999755859375,203.85000610351562,92009700
2015-01-27 00:00:00+00:00,170.90618896484375,202.74000549316406,204.1199951171875,201.74000549316406,134044600
2015-01-28 00:00:00+00:00,168.71438598632812,200.13999938964844,204.2899932861328,199.91000366210938,168514300
2015-01-29 00:00:00+00:00,170.27392578125,201.99000549316406,202.3000030517578,198.67999267578125,173585400
2015-01-30 00:00:00+00:00,168.13275146484375,199.4499969482422,202.1699981689453,199.1300048828125,197729700
2015-02-02 00:00:00+00:00,170.21490478515625,201.9199981689453,202.02999877929688,197.86000061035156,163107000
2015-02-03 00:00:00+00:00,172.67640686035156,204.83999633789062,204.85000610351562,202.5500030517578,124212900
2015-02-04 00:00:00+00:00,172.01885986328125,204.05999755859375,205.3800048828125,203.50999450683594,134306700
2015-02-05 00:00:00+00:00,173.75543212890625,206.1199951171875,206.3000030517578,204.77000427246094,97953200
2015-02-06 00:00:00+00:00,173.27490234375,205.5500030517578,207.24000549316406,204.9199981689453,125672000
